,title,description,image
34,This Gun for Hire,"When assassin Philip Raven shoots a blackmailer and his beautiful female companion dead, he is paid off in marked bills by his treasonous employer who is working with foreign spies.",https://m.media-amazon.com/images/M/MV5BYzMwODBlNDYtZDYxZS00NzMxLWI3YjItMzgxMGU0YjZiMjIxXkEyXkFqcGdeQXVyNjc0MzMzNjA@.jpg
36,Key Largo,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",https://m.media-amazon.com/images/M/MV5BNjU0NjU1NjYzN15BMl5BanBnXkFtZTgwMTk0NzE2MjE@.jpg
37,Detective Story,"On one day in the 21st Precinct squad room, assorted characters form a backdrop for the troubles of hard-nosed Detective Jim McLeod.",https://m.media-amazon.com/images/M/MV5BMTkxYzQ0MzgtMzUyOS00OGYyLTg0MDAtODY5MTM1NmQwMmZmXkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg
39,Caged,"A gentle, naive, pregnant 19-year-old widow is slowly, inexorably ground down by the hardened criminals, sadistic guards, and matron at a woman's prison. Will she be the same person when her sentence is up?",https://m.media-amazon.com/images/M/MV5BNGVkNTkxMDItNWYxZi00NGE2LTk5Y2YtODRhMzcwN2E4YjkyXkEyXkFqcGdeQXVyNTEwNDcxNDc@.jpg
42,White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,https://m.media-amazon.com/images/M/MV5BZmI5NTA3MjItYzdhMi00MWMxLTg3OWMtYWQyYjg5MTFmM2U0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg
43,High Sierra,"After being released from prison, notorious thief Roy Earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a California resort.",https://m.media-amazon.com/images/M/MV5BYzg2MzBjNWUtMDgyZS00ZWFmLTljMDEtZmUxMTEwNGM4M2RlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg
44,Crossroads,"Three childhood best friends, and a guy they just met, take a road trip across the country, finding themselves and their friendship in the process.",https://m.media-amazon.com/images/M/MV5BOTI0NGM2MjktNjgxMi00Zjk3LTkyYWEtYTMzOGI2YTAxMmRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
52,The Narrow Margin,A woman planning to testify against the mob must be protected against their assassins on the train trip from Chicago to Los Angeles.,https://m.media-amazon.com/images/M/MV5BMTMyN2EwZWYtYTRlZS00NjU3LWFiNDgtOWI2YTMwMGY3Mzc5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg
54,Detour,"Chance events trap hitchhiking nightclub pianist Al Roberts in a tightening net of death, deception and blackmail.",https://m.media-amazon.com/images/M/MV5BYTVhNTU2YzMtOTVjNy00YzhhLTk5OWItMjU4ZGMyNDQ4ZDIwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg
55,Killer's Kiss,"Ready to catch a train to his hometown, a washed-up boxer tells us about the strange and twisty events that happened to him the past couple of days.",https://m.media-amazon.com/images/M/MV5BOTY5ZjZkZjYtYTY5Ny00ZGY5LTliNjYtYzRlY2UwYjY1MDlkXkEyXkFqcGdeQXVyNDQ2MTMzODA@.jpg
