,title,description,image
39,Wicked,The story of how a green-skinned woman framed by the Wizard of Oz becomes the Wicked Witch of the West. The first of a two-part feature film adaptation of the Broadway musical.,https://m.media-amazon.com/images/M/MV5BNjczYjBhMTctYTA3Yy00NTgyLWFkZWQtZjQwYTRkMDc1YTc1XkEyXkFqcGdeQXVyNTk5NTQzNDI@.jpg
43,James and the Giant Peach,"An orphan who lives with his two cruel aunts befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City.",https://m.media-amazon.com/images/M/MV5BMTNkNWIwNGUtNTJlOC00NDU3LTk0NWEtNjNjNDM4NzRiNThkXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
45,Z-O-M-B-I-E-S 3,"Zed anticipates an athletic scholarship while Addison is gearing up for Seabrook's international cheer-off competition. Then suddenly, extraterrestrial beings appear around Seabrook, causing more than friendly competition.",https://m.media-amazon.com/images/M/MV5BZDg4MjVhZDQtM2RiNC00NzZkLWI4MWMtMjkxNjMyZGM3ZmRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg
48,The Little Mermaid,"A young mermaid makes a deal with a sea witch, to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.",https://m.media-amazon.com/images/M/MV5BZWUxOGRjNTgtMjhjZC00YjRhLTk4YzEtN2IwMGFiYjZhOTBiXkEyXkFqcGdeQXVyMTA4ODY5NzE0.jpg
49,Mary Poppins,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",https://m.media-amazon.com/images/M/MV5BNmJkODczNjItNDI5Yy00MGI1LTkyOWItZDNmNjM4ZGI1ZDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg
50,Mamma Mia!,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,https://m.media-amazon.com/images/M/MV5BMTA2MDU0MjM0MzReQTJeQWpwZ15BbWU3MDYwNzgwNzE@.jpg
51,The Polar Express,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",https://m.media-amazon.com/images/M/MV5BMTM1NTU0NTE4MV5BMl5BanBnXkFtZTcwMTQ0MjEzMw@@.jpg
52,Into the Woods,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",https://m.media-amazon.com/images/M/MV5BODc2MmVjZmUtNjAzMS00MDNiLWIyM2YtOGEzMjg0YjRhMzRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
55,Beauty and the Beast,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",https://m.media-amazon.com/images/M/MV5BMTUwNjUxMTM4NV5BMl5BanBnXkFtZTgwODExMDQzMTI@.jpg
56,Dear Evan Hansen,"Film adaptation of the Tony and Grammy Award-winning musical about Evan Hansen, a high school senior with Social Anxiety disorder and his journey of self-discovery and acceptance following the suicide of a fellow classmate.",https://m.media-amazon.com/images/M/MV5BYzhhM2YzN2EtNjUwOS00MmU4LTk0YzEtZjUwNGM1YjE0NjVhXkEyXkFqcGdeQXVyNTk5NTQzNDI@.jpg
57,Slumberland,"A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.",https://m.media-amazon.com/images/M/MV5BNDUzMzE3NDktN2JmOC00ZjJmLTg0NmMtODE0NDkzNDE5OGYwXkEyXkFqcGdeQXVyMTEyMjM2NDc2.jpg
58,Annie,"A foster kid, who lives with her mean foster mom, sees her life change when business tycoon and New York City mayoral candidate Will Stacks makes a thinly-veiled campaign move and takes her in.",https://m.media-amazon.com/images/M/MV5BMTAyNDYxOTI4MzNeQTJeQWpwZ15BbWU4MDQ3MDU3NjIx.jpg
62,The Grinch,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",https://m.media-amazon.com/images/M/MV5BNWNiNTczNzEtMjQyZC00MjFmLTkzMDMtODk4ZGMyZmE0N2E4XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg
63,Alvin and the Chipmunks,Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.,https://m.media-amazon.com/images/M/MV5BMjdmNWY4MjItMjBiMi00MWNiLWI0ZjctYzBjZmEzOGRmNTc5XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
