,title,description,image
49,Django/Zorro,"Several years after the events of Django Unchained (2012), Django meets Don Diego de la Vega, the famed Zorro, and agrees to become his bodyguard on a mission to free the local aboriginal population from slavery.",https://m.media-amazon.com/images/M/MV5BM2Y3MDkzN2ItMWZkNC00NGY5LWE3Y2EtNzI0MWFkZTVhY2Y0XkEyXkFqcGdeQXVyNDk4NzAyNzU@.jpg
51,Bacurau,"After the death of her grandmother, Teresa comes home to her matriarchal village in a near-future Brazil to find a succession of sinister events that mobilizes all of its residents.",https://m.media-amazon.com/images/M/MV5BYjc1N2M1YjMtYzBiNi00NGFiLThkN2QtY2EwZGU5MDRkODAzXkEyXkFqcGdeQXVyMTkzODUwNzk@.jpg
55,Terror on the Prairie,"On the Montana plains, a frontier woman must protect herself against a ruthless gang of outlaws hell-bent on revenge.",https://m.media-amazon.com/images/M/MV5BMmRhMmI4NmMtYTk1MC00ZWMzLWJjYzMtZGQ4YzAxZWRjYmQ1XkEyXkFqcGdeQXVyMzUzMDQxMzI@.jpg
56,Open Range,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,https://m.media-amazon.com/images/M/MV5BMTYyNjA4NTY3N15BMl5BanBnXkFtZTYwNjc0MDM3.jpg
58,Joe Kidd,An ex-bounty hunter reluctantly helps a wealthy landowner and his henchmen track down a Mexican revolutionary leader.,https://m.media-amazon.com/images/M/MV5BMWEyNDFhOWMtMDdiMy00NzQyLWI1NDktNGZjMTE3Y2Y1MDAyXkEyXkFqcGdeQXVyMTUzMDUzNTI3.jpg
59,Hell Hole,"A young woman becomes amnesiac after an attack by a hired killer. She's admitted to a mental asylum run by a ruthless doctor who experiments on her patients with a lethal drug, and her attacker just got employed there.",https://m.media-amazon.com/images/M/MV5BYjIwMjhlZDAtMDU3Yy00Zjk5LTgxZTgtZjQ3ZDc5MDkzNTUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
61,News of the World,"A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.",https://m.media-amazon.com/images/M/MV5BMDNlNmVlNDItMjE3Yi00ZTA3LWIyOTktNDhhMGFlZjk5ZDQ0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@.jpg
64,Wild Wild West,"The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War.",https://m.media-amazon.com/images/M/MV5BYmYyMTc4YjItMGNhNC00OWQwLWJhMWUtNTdjZDgxMDI5MjE2L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
66,The Ridiculous 6,"An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad.",https://m.media-amazon.com/images/M/MV5BMmI1YTNlNjUtMjk4NS00YWZiLWI5NjktZjY5ZjRhZDJmMzQ2XkEyXkFqcGdeQXVyNjgxNTAwNjQ@.jpg
67,Rio Bravo,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",https://m.media-amazon.com/images/M/MV5BZDVhMTk1NjUtYjc0OS00OTE1LTk1NTYtYWMzMDI5OTlmYzU2XkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg
69,The Lone Ranger,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",https://m.media-amazon.com/images/M/MV5BMjI3Mjk5MTUxOV5BMl5BanBnXkFtZTcwNTMyNzY3OQ@@.jpg
71,The Dressmaker,"A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong.",https://m.media-amazon.com/images/M/MV5BMjA4MzAxNTc5OF5BMl5BanBnXkFtZTgwMjgzMDE4OTE@.jpg
74,The Homesman,"Three women who have been driven mad by pioneer life are to be transported across the country by covered wagon by the pious, independent-minded Mary Bee Cuddy, who in turn employs low-life drifter George Briggs to assist her.",https://m.media-amazon.com/images/M/MV5BMTQ4NTkxOTEyMl5BMl5BanBnXkFtZTgwOTI1NzcwMzE@.jpg
81,Of Mice and Men,"A nomadic farm worker looks after his dimwitted, gentle-giant friend during the Great Depression.",https://m.media-amazon.com/images/M/MV5BYTA4ZTUzODAtZTdmMi00MmMxLThlMDgtY2VhY2Y2MjUxNDEyXkEyXkFqcGdeQXVyMTY5Nzc4MDY@.jpg
82,Far and Away,"A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely.",https://m.media-amazon.com/images/M/MV5BN2FiZTMzOGQtODQ2Ny00ZGFlLThiMDgtMTdhMjg4ZWM1MWMzXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg
83,Australia,"Set in northern Australia before WWII, an Englishwoman who inherits a sprawling ranch reluctantly pacts with a stock-man in order to drive 2,000 head of cattle over unforgiving landscapes.",https://m.media-amazon.com/images/M/MV5BYTg4NjM4MTktYzdjYS00YjBlLWJjODMtYzY2OGU3NjJkMTZhXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
85,Young Guns II,"In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.",https://m.media-amazon.com/images/M/MV5BOGZmZWRkZjgtMDYwYS00MzU5LThhODktNGYxMjQxNzY1ODM1XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
