,title,description,image
36,The Sandman,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",https://m.media-amazon.com/images/M/MV5BYTM0NjZjYjItM2JiYS00NmU5LWJmMTMtZjQ0OWU3Mzk1ZWZjXkEyXkFqcGdeQXVyMTAxNDE3MTE5.jpg
37,The Legend of Sleepy Hollow,"In a small town, a brewing romantic rivalry with a local tough and a school-teacher culminates in a terrifying ride in the night.",https://m.media-amazon.com/images/M/MV5BZjUyN2VmYzQtMjgwMy00MjBlLWEyMDMtOGM2YjhhYzY1YmVjXkEyXkFqcGdeQXVyNjAwODEzMTE@.jpg
43,Star vs. the Forces of Evil,"Star Butterfly arrives on Earth to live with the Diazes, a Mexican-American family. She continues to battle villains throughout the universe and high school, mainly to protect her extremely powerful wand, an object that still confuses her.",https://m.media-amazon.com/images/M/MV5BYmUxYWJkZGQtY2FmYS00YzM2LWJiMGQtODY5YTdjYmVkM2Y5XkEyXkFqcGdeQXVyNzQzNTI4MTM@.jpg
46,Beetlejuice 2,"This is a follow-up to the comedy Beetle Juice (1988), about a ghost who's recruited to help haunt a house.",https://m.media-amazon.com/images/M/MV5BMTFmN2Q5MjUtMzk3MS00NGI3LWFmN2EtODdmMzVjMGU4YmM5XkEyXkFqcGdeQXVyODUzMjQxMTA@.jpg
50,All Too Well: The Short Film,"A young man and woman who fall in love, but slowly drift apart in time. Based on Taylor Swift's song 'All Too Well'.",https://m.media-amazon.com/images/M/MV5BZmJjY2MyMTctZWYxMy00YzliLWIzN2UtODFmOGVmNTE1YzUwXkEyXkFqcGdeQXVyOTcxNTc5NTQ@.jpg
51,The Chalk Line,A couple temporarily adopts a young girl that they found wandering around alone in the high road.,https://m.media-amazon.com/images/M/MV5BMDRmMzBhYzQtNjc2Zi00OTQzLWE0NmItZWNiNTVjNzA3YTI1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@.jpg
53,State of the Union,"Louise and Tom who meet in a pub immediately before their weekly marital therapy session. Each episode pieces together how their lives were, what drew them together, and what has started to pull them apart.",https://m.media-amazon.com/images/M/MV5BMTEwNDc2Nzg3ODFeQTJeQWpwZ15BbWU4MDc3Mzc2NTcz.jpg
55,A Cabinet of Curiosities,"A short poetic documentary following the decline of the director's uncle's mental health, told through images of his curious collection of things left in his house.",https://m.media-amazon.com/images/M/MV5BMzc1M2M1YmEtNjM4Mi00NDI0LWEwMTktYWU5NzE1MGE2YTY4XkEyXkFqcGdeQXVyMTQyOTQ5MTQ4.jpg
56,Don't Breathe: No Escape,An army disabled veteran who lives in his house all by himself has a secret that he wants nobody to know. 3 young kids are planning to rob him but they won't know what they're going up against.,https://m.media-amazon.com/images/M/MV5BYjc5ZTI4MWYtMTY5OS00NzlhLWIzY2MtZTJkMDYyM2Y4MzQzXkEyXkFqcGdeQXVyMzU3MTEwNw@@.jpg
57,The Batman: Deleted Arkham Scene,"In a deleted scene from The Batman (2022), Batman consults an old acquaintance and Arkham inmate about The Riddler's crime spree.",https://m.media-amazon.com/images/M/MV5BYTc5MTBiZjQtZGM3ZC00NzExLWE5YTktN2FjNTlhNjIzYWU4XkEyXkFqcGdeQXVyMTEyNzgwMDUw.jpg
